text,source,text_clean,label
pinter ya cara maen nya.. sekarang mau lihat tag orang biasa aja gabisa walaupun dia ga pake privasi.. makin pinter nyari duitnya.. sy uninstall aja.. BYE..,PlayStore,pinter ya cara maen nya sekarang mau lihat tag orang biasa aja gabisa walaupun dia ga pake privasi makin pinter nyari duitnya sy uninstall aja bye,1
dulu terakhir download ntah tahun berapa belom berbayar dan masih ada gratisan cek nomor sekarang giliran udah rame berbayar haha jelek nih apk,PlayStore,dulu terakhir download ntah tahun berapa belom berbayar dan masih ada gratisan cek nomor sekarang giliran udah rame berbayar haha jelek nih apk,0
"sering kena limit, fitur yang unlimited nya mana",PlayStore,sering kena limit fitur yang unlimited nya mana,1
"bagus tapi fitur premium nya masih di batasi untuk mengecek tag, masalahnya sebagai orang kerja jadi customer service ini kadang jadi masalah untuk mengindentifikasi karakter nasabah",PlayStore,bagus tapi fitur premium nya masih di batasi untuk mengecek tag masalahnya sebagai orang kerja jadi customer service ini kadang jadi masalah untuk mengindentifikasi karakter nasabah,2
apk makin sinih makin ribet bukan nya ngebantu malah banyak drama,PlayStore,apk makin sinih makin ribet bukan nya ngebantu malah banyak drama,1
bagus,PlayStore,bagus,2
"dulu awal2 sngat membantu, sekrg apa2 harus berlngganan premium dulu.. knp hrus bgtu sih ? sebel bgt",PlayStore,dulu awal sngat membantu sekrg apa harus berlngganan premium dulu knp hrus bgtu sih  sebel bgt,2
"Maaf saya hentikan berlangganan, saya hanya ingin mencobanya satu kali saja, karena Aplikasi Getcontact masih banyak kekurangannya, tanda ( #name ) tidak bisa di klik, ketika di klik tanda ( #name ) kita tidak bisa mengetahui siapa saja yang sudah simpan nama kontak kita, seharusnya tanda ( #name ) bisa di klik untuk mengetahui siapa yang simpan nama kita. perbaiki aplikasi ini, agar kita tahu siapa yang sudah simpan nama kita di dalam tanda ( #name )",PlayStore,maaf saya hentikan berlangganan saya hanya ingin mencobanya satu kali saja karena aplikasi getcontact masih banyak kekurangannya tanda  name  tidak bisa di klik ketika di klik tanda  name  kita tidak bisa mengetahui siapa saja yang sudah simpan nama kontak kita seharusnya tanda  name  bisa di klik untuk mengetahui siapa yang simpan nama kita perbaiki aplikasi ini agar kita tahu siapa yang sudah simpan nama kita di dalam tanda  name,1
"saya telah membatalkan langganan,kembalikan saldo saya yg di potong secara tiba tiba dalam selama 2 bulan ini,karena saya sama selali tidak menggunakan aplikasi tersebut",PlayStore,saya telah membatalkan langganankembalikan saldo saya yg di potong secara tiba tiba dalam selama  bulan inikarena saya sama selali tidak menggunakan aplikasi tersebut,1
good,PlayStore,good,1
"sangat buruk,udh di bayar juga",PlayStore,sangat burukudh di bayar juga,1
"Dapat Notif Tag baru ditambahkan, diminta ke premium tapi tag tersebut nggak muncul.. Anehh",PlayStore,dapat notif tag baru ditambahkan diminta ke premium tapi tag tersebut nggak muncul anehh,1
"👊🏻Pada iklan nya berbeda dengan realita aplikasi, di iklan bisa liat nomor kita di DV apa tapi aslinya tidak.. Tidak di sarankan untuk di download ☺👍🏻👊🏻",PlayStore,pada iklan nya berbeda dengan realita aplikasi di iklan bisa liat nomor kita di dv apa tapi aslinya tidak tidak di sarankan untuk di download,1
"ga jelas. mo masuk pake Gmail ga bisa"".",PlayStore,ga jelas mo masuk pake gmail ga bisa,1
wkwk udh beli premium masih belum bisa kasih liat nomor yang saya cari wkwk,PlayStore,wkwk udh beli premium masih belum bisa kasih liat nomor yang saya cari wkwk,1
sangat membantu,PlayStore,sangat membantu,2
aplikasi nya scam saya liat tidak ada nomor Kawa saya yang sv,PlayStore,aplikasi nya scam saya liat tidak ada nomor kawa saya yang sv,1
"masih perdana, semoga bermanfaat kedepannya",PlayStore,masih perdana semoga bermanfaat kedepannya,2
"apk hama awalan gratis kesininya berbayar kalo mau berbayar dari dulu udah mah ngga ngotak pembayaran gede gede cuma buat liat kontak niat cari cuan apa ngebantu. manis di awal doangg tida direkomendasikan apk ini bayar nya ngga ngotak mending langganan yang lebih berguna jangan pernah langganan di sini cuma liat kontak 1x bayarnya sampe ratusan ribu padahal ngecek doang, buang duit kalo ada yang langganan di sini.",PlayStore,apk hama awalan gratis kesininya berbayar kalo mau berbayar dari dulu udah mah ngga ngotak pembayaran gede gede cuma buat liat kontak niat cari cuan apa ngebantu manis di awal doangg tida direkomendasikan apk ini bayar nya ngga ngotak mending langganan yang lebih berguna jangan pernah langganan di sini cuma liat kontak x bayarnya sampe ratusan ribu padahal ngecek doang buang duit kalo ada yang langganan di sini,1
kenapa pembayaran melalui GooglePlay di tolak?,PlayStore,kenapa pembayaran melalui googleplay di tolak,1
gratistis,PlayStore,gratistis,1
kikir,PlayStore,kikir,1
aplikasi kikir,PlayStore,aplikasi kikir,1
aplikasi terlalu rakus mengambil keuntungan.,PlayStore,aplikasi terlalu rakus mengambil keuntungan,1
apk ga guna,PlayStore,apk ga guna,1
banyak iklan nya sampah,PlayStore,banyak iklan nya sampah,1
lacak,PlayStore,lacak,1
apk berbayar,PlayStore,apk berbayar,1
"saya udah langganan, uang juga udah keluar, beberapa kali saya melapor ke pihak getcontat, melewati apk dan email tapi sudah berjam jam tidak ada respon yang bisa membuat firtur itu aktif",PlayStore,saya udah langganan uang juga udah keluar beberapa kali saya melapor ke pihak getcontat melewati apk dan email tapi sudah berjam jam tidak ada respon yang bisa membuat firtur itu aktif,1
"hallo developer getcontact tolong balikin uang langganan, karena itu pembelian yang tidak disengaja karena kepencet",PlayStore,hallo developer getcontact tolong balikin uang langganan karena itu pembelian yang tidak disengaja karena kepencet,1
tidak membantu dikenakan biaya cuma lihat tagar orang,PlayStore,tidak membantu dikenakan biaya cuma lihat tagar orang,2
sangat membantu untuk no spam,PlayStore,sangat membantu untuk no spam,2
"Di saya, force close terus. Gak mau d buka jg. Udah d uninstall trus install ulang. Tetep",PlayStore,di saya force close terus gak mau d buka jg udah d uninstall trus install ulang tetep,1
nyesel instal ini,PlayStore,nyesel instal ini,1
ga jelas ini aplikasi sekarang,PlayStore,ga jelas ini aplikasi sekarang,1
aplikasi puqi,PlayStore,aplikasi puqi,1
kenapa Susah banget untuk login sekarang tolong dong perbaiki sudah berulang kali dan coba menunggu tetep ga bisa2,PlayStore,kenapa susah banget untuk login sekarang tolong dong perbaiki sudah berulang kali dan coba menunggu tetep ga bisa,1
saya tidak bisa mendownload nya,PlayStore,saya tidak bisa mendownload nya,1
aplikasi busuk nyoba aja disuruh premium,PlayStore,aplikasi busuk nyoba aja disuruh premium,1
"susah buat masuk nya anjjjj ,muter2 Mulu di verifikasi,sampe limit di buatkan",PlayStore,susah buat masuk nya anjjjj muter mulu di verifikasisampe limit di buatkan,1
banyak berbayar nya ga worth it,PlayStore,banyak berbayar nya ga worth it,1
Gk bagus krn gk bisa keliatan nama kita di SV Apa sama orang,PlayStore,gk bagus krn gk bisa keliatan nama kita di sv apa sama orang,2
"mengecewakan. tertulis ""jangan menulis hal menghina, mencela dll, tapi sembarangan org bisa nulis tag sesuka mereka tanpa bukti (upload dokumen atau ss gambar misal memberi tag:penipu)",PlayStore,mengecewakan tertulis jangan menulis hal menghina mencela dll tapi sembarangan org bisa nulis tag sesuka mereka tanpa bukti upload dokumen atau ss gambar misal memberi tagpenipu,1
mantapp,PlayStore,mantapp,1
"ribet,gak kyk dlu, uninstall aja",PlayStore,ribetgak kyk dlu uninstall aja,1
"apk apa apaan ini,dikit2 harus bayar,dikit2 iklan ga masuk akal mau cari kontak aja harus ribet harus bayar,katanya gratis?,gratis dari apanya?",PlayStore,apk apa apaan inidikit harus bayardikit iklan ga masuk akal mau cari kontak aja harus ribet harus bayarkatanya gratisgratis dari apanya,1
berbayar gak suka,PlayStore,berbayar gak suka,2
TDK tau pake,PlayStore,tdk tau pake,1
"aplikasi kcntcl padahal udh bayar premium tp tetep ada batas limitnya, ada notif sruh buka email tp giliran dibuka gk ada email sma sekali 👎👎👎",PlayStore,aplikasi kcntcl padahal udh bayar premium tp tetep ada batas limitnya ada notif sruh buka email tp giliran dibuka gk ada email sma sekali,1
"apk gajelas apa"" harus premium",PlayStore,apk gajelas apa harus premium,1
Tidak bisa log-in,PlayStore,tidak bisa login,1
payah kudu langganan,PlayStore,payah kudu langganan,1
"aplikasi getcontact menjadi downgrade, mulai dari sering down, tidak bisa mengakses nomor telepon orang lain. Tolong di perbaiki lagi apk nya ya",PlayStore,aplikasi getcontact menjadi downgrade mulai dari sering down tidak bisa mengakses nomor telepon orang lain tolong di perbaiki lagi apk nya ya,1
𝐣𝐮𝐣𝐮𝐫 𝐢𝐧𝐢 𝐭𝐮𝐡 𝐛𝐞𝐫𝐦𝐚𝐧𝐟𝐚𝐚𝐭 𝐤𝐚𝐫𝐞𝐧𝐚 𝐚𝐤𝐮 𝐛𝐢𝐬𝐚 𝐭𝐚𝐮 𝐠𝐢𝐭𝐮 𝐧𝐚𝐦𝐚𝐤𝐮 𝐝𝐢𝐬𝐢𝐦𝐩𝐞𝐧 𝐚𝐩𝐚,PlayStore,,1
"biaya langganan kena pajak 30% sungguh sangat gila biayanya, LUCUNYA LAGI INGIN MELIHAT PENCARIAN DAN IDENTITAS NOMOR YG LAIN MALAH DIKENAKAN SETTING #PENANDA BUKAN PENCARIAN ALHASIL PENANDA SAYA HILANG HABIS SEBELUM WAKTUNYA, KAN INI NAMANYA PEMBODOHAN DAN PERAMPOKAN SU",PlayStore,biaya langganan kena pajak  sungguh sangat gila biayanya lucunya lagi ingin melihat pencarian dan identitas nomor yg lain malah dikenakan setting penanda bukan pencarian alhasil penanda saya hilang habis sebelum waktunya kan ini namanya pembodohan dan perampokan su,1
dasar penipu aplikasi bodong nggak cocok di download,PlayStore,dasar penipu aplikasi bodong nggak cocok di download,0
gtc jgn ngelag mulu pls 🙃🙃🙃,PlayStore,gtc jgn ngelag mulu pls,1
tidak bisa di buka aplikasi nya kenpa nyk,PlayStore,tidak bisa di buka aplikasi nya kenpa nyk,1
harus bayar,PlayStore,harus bayar,1
"najis bgt harus premium dulu, pdhl dulu engga. skrg apk apa² berbayar, mana login ribet lagi sumpah najissssss bgttt gilakkkkkkk. gua install aja nih apk percuma berguna tp berbayar 👎🏻🥱",PlayStore,najis bgt harus premium dulu pdhl dulu engga skrg apk apa berbayar mana login ribet lagi sumpah najissssss bgttt gilakkkkkkk gua install aja nih apk percuma berguna tp berbayar,1
jangan ini penipuan di suru bayar terus dan langsung di kurass dana kita tanpa pengetauan kita,PlayStore,jangan ini penipuan di suru bayar terus dan langsung di kurass dana kita tanpa pengetauan kita,1
dikit dikit premium anjir. kikir amat,PlayStore,dikit dikit premium anjir kikir amat,1
saldo atm saya kepotong sebesar 21.090 di karena getcontact padahal saya tidak malakukan transaksi sama sekali untuk premium di aplikasi ini,PlayStore,saldo atm saya kepotong sebesar  di karena getcontact padahal saya tidak malakukan transaksi sama sekali untuk premium di aplikasi ini,1
baguss tapi sekrng cek #name nya berbayar ya 🤢🤢huhuhu,PlayStore,baguss tapi sekrng cek name nya berbayar ya huhuhu,1
"Udah premium, tapi kok lihat nama orang terbatas padahal belum sebulan, klo tau gitu mending gk usah berlangganan",PlayStore,udah premium tapi kok lihat nama orang terbatas padahal belum sebulan klo tau gitu mending gk usah berlangganan,1
sedikit berguna maaf ya,PlayStore,sedikit berguna maaf ya,1
"apk gak jelas perasaan dlu kagak pake"" langganan premium apk butut",PlayStore,apk gak jelas perasaan dlu kagak pake langganan premium apk butut,1
kebanyakan permintaan,PlayStore,kebanyakan permintaan,1
pliss min 😭😭sediain metode bisa bayar di indomaretttttt😭😭😭ga semua punya gopay min,PlayStore,pliss min sediain metode bisa bayar di indomarettttttga semua punya gopay min,1
ok,PlayStore,ok,1
nyedot saldo dana seenak nya,PlayStore,nyedot saldo dana seenak nya,1
bagus kegunaannya,PlayStore,bagus kegunaannya,2
bermanfaat,PlayStore,bermanfaat,2
"get contact sekarang aneh, uda gk seakurat dulu... kecewa oi",PlayStore,get contact sekarang aneh uda gk seakurat dulu kecewa oi,0
makasi buat aplikasinya,PlayStore,makasi buat aplikasinya,1
sekarang udah bayar,PlayStore,sekarang udah bayar,1
mantap,PlayStore,mantap,2
sgt susah untuk login saya sudah bersusah payah tau tpi harus saja adalah ini itu,PlayStore,sgt susah untuk login saya sudah bersusah payah tau tpi harus saja adalah ini itu,1
"SAYA MINTA UANG SAYA KEMBALIKAN 21.090 SAYA TIDAK MERASAKAN PEMBELIAN,SAYA HANYA MEMBELI DI BULAN MARET DAN ITU TRANSAKSI NYA MALAM SEDANGKAN SAYA TIDUR DI JAM 8 ENGGA LOGIKA AMAT UANG SAYA TIBA TIBA DI TARIK PADAHAL ITU PAKE OIN SAYA MINTA KEMBALIKAN.",PlayStore,saya minta uang saya kembalikan  saya tidak merasakan pembeliansaya hanya membeli di bulan maret dan itu transaksi nya malam sedangkan saya tidur di jam  engga logika amat uang saya tiba tiba di tarik padahal itu pake oin saya minta kembalikan,1
payah verivikasi aja eror mlu,PlayStore,payah verivikasi aja eror mlu,1
ternyata bayar 😞🥀,PlayStore,ternyata bayar,1
baru sebentar ikut yang premium malah kena limit sudah ditunggu 24 jam lebih masih ada pemberitahuan limit.. kalau begini bisa saya uninstal,PlayStore,baru sebentar ikut yang premium malah kena limit sudah ditunggu  jam lebih masih ada pemberitahuan limit kalau begini bisa saya uninstal,1
"Semacam pemerasa sih, bentar"" bayar dan setrsnya",PlayStore,semacam pemerasa sih bentar bayar dan setrsnya,1
login ribet harus punya wa bisnis,PlayStore,login ribet harus punya wa bisnis,1
"apk nya udah gak guna, apa apa harus premium, mau liat tag aja udah gak bisa klau gak premium, mending uninstall aja...",PlayStore,apk nya udah gak guna apa apa harus premium mau liat tag aja udah gak bisa klau gak premium mending uninstall aja,1
apaaan coba baru instal mau login malah verfikasi nya harap tunggu sebentar gj gj jangan donlowd,PlayStore,apaaan coba baru instal mau login malah verfikasi nya harap tunggu sebentar gj gj jangan donlowd,1
aplikasi penipuan,PlayStore,aplikasi penipuan,1
apaan dahh. mau liat hastag aja kudu berlangganan. ogah banget buang uang cuma mau tau bentaran doang. dikira bakal dibutuhin tiap saat gitu ni APK? gakk bangettt yaaaa! cuma sekedar kepo sesaat. udahnya uninstal lagi. ga guna² banget ni apk,PlayStore,apaan dahh mau liat hastag aja kudu berlangganan ogah banget buang uang cuma mau tau bentaran doang dikira bakal dibutuhin tiap saat gitu ni apk gakk bangettt yaaaa cuma sekedar kepo sesaat udahnya uninstal lagi ga guna banget ni apk,1
"sy sudah membeli paket premium tp knp paket tidak berubah menjadi premium ,dan masih tidak bisa di buka untuk melihat tag satu saja tidak bisa, padahal saldo saya sudah berkurang melebihi harga yang tertera.bahkan disuruh bayar lagi, dan pembayaran sangat sulit, tolong bagamaina ini.. apa yang harus saya lakukan.",PlayStore,sy sudah membeli paket premium tp knp paket tidak berubah menjadi premium dan masih tidak bisa di buka untuk melihat tag satu saja tidak bisa padahal saldo saya sudah berkurang melebihi harga yang terterabahkan disuruh bayar lagi dan pembayaran sangat sulit tolong bagamaina ini apa yang harus saya lakukan,1
fitur dasar aj bayar dlu ga kek dlu,PlayStore,fitur dasar aj bayar dlu ga kek dlu,1
aku kecewa sih kk dulu waktu aku donwload kalau apl baru buka itu gratis liat nama kontak orang di watsap kok sekarang di batasin sih cuma keliatan 2 nama yg lainnya di buramin,PlayStore,aku kecewa sih kk dulu waktu aku donwload kalau apl baru buka itu gratis liat nama kontak orang di watsap kok sekarang di batasin sih cuma keliatan  nama yg lainnya di buramin,0
bayar muluh kontxlll,PlayStore,bayar muluh kontxlll,1
saya tidak pernah menggunakan aplikasi ini lagi sejak lama tapi saya ditagih dan otomatis saldo saya hilang saya mau tanggung jawabnya,PlayStore,saya tidak pernah menggunakan aplikasi ini lagi sejak lama tapi saya ditagih dan otomatis saldo saya hilang saya mau tanggung jawabnya,1
"ga jelas,busuk,dlu ga kaya gini deh",PlayStore,ga jelasbusukdlu ga kaya gini deh,1
bolak balik di suruh verifikasi...,PlayStore,bolak balik di suruh verifikasi,1
gokil,PlayStore,gokil,1
lama baget harus nunggu dulu pas daftar,PlayStore,lama baget harus nunggu dulu pas daftar,1
ga bisa Di buka kak😭😭,PlayStore,ga bisa di buka kak,1
karna sia katanya bisa melihat contak yang sisimpan orang lain sudah saya periksa tapi nunggu hampil berapa jam coba,PlayStore,karna sia katanya bisa melihat contak yang sisimpan orang lain sudah saya periksa tapi nunggu hampil berapa jam coba,1
apk kikir,PlayStore,apk kikir,1
di update malah makin jelek 👎,PlayStore,di update malah makin jelek,0
"So far so good, jadi ngerti siapapun penelpon kita!",PlayStore,so far so good jadi ngerti siapapun penelpon kita,1
sengaja kasi bintang 5 supaya dilihat jangan di download nggak bisa login ribet pokoknya,PlayStore,sengaja kasi bintang  supaya dilihat jangan di download nggak bisa login ribet pokoknya,1
aplikasi aneh ga membantu ga sesuai di iklan,PlayStore,aplikasi aneh ga membantu ga sesuai di iklan,2
bagus banget,PlayStore,bagus banget,2
"Sekarang harus upgrade ke pro. Sama sekali gak ngebantu, padahal buat anti spam atau penipuan walaupun dulu hanya dapat menggunakan 5× perhari.",PlayStore,sekarang harus upgrade ke pro sama sekali gak ngebantu padahal buat anti spam atau penipuan walaupun dulu hanya dapat menggunakan  perhari,1
"apk gak guna,",PlayStore,apk gak guna,1
"berlangganan premium bermasalah, tombol tidak berfungsi saat di sentuh",PlayStore,berlangganan premium bermasalah tombol tidak berfungsi saat di sentuh,1
bagus banget apk ini bisa mengakses semua chat yang di sembunyikan,PlayStore,bagus banget apk ini bisa mengakses semua chat yang di sembunyikan,2
"cacad, masa nyari nama org ga keliatan namanya siapa pdhl nomor lama, nama yg dikasi ga update"" kalo ada yg udh ngesave belum lama. maksa jd member tp kualitas payah",PlayStore,cacad masa nyari nama org ga keliatan namanya siapa pdhl nomor lama nama yg dikasi ga update kalo ada yg udh ngesave belum lama maksa jd member tp kualitas payah,1
"medit,",PlayStore,medit,1
"aplikasi ini sangat bagus,aku menyukainya 🤗🤗",PlayStore,aplikasi ini sangat bagusaku menyukainya,1
semoga bagus,PlayStore,semoga bagus,2
sederhana. gua di doxxing,PlayStore,sederhana gua di doxxing,1
apk aneh baru download masuk anda terlalu banyak mengirimkan ferepikasi padahal baru 1 kali setelah selesai download apk aneh,PlayStore,apk aneh baru download masuk anda terlalu banyak mengirimkan ferepikasi padahal baru  kali setelah selesai download apk aneh,1
mantap mas bro,PlayStore,mantap mas bro,2
"pada awalnya apk ini membantu saya dalam mnegecek nomor yang tidak dikenali, jadi kami bisa waspada kalau nomor2 yang tidak dikenali itu meragukan atau punya indikasi jahat ke kita. tetapi sayang harusnya apk ini bisa membantu semua orang malah harus dikenakan biaya lagi untuk melihat tag nomor yang tidak dikenali. sama saja bukan membantu tetapi ini bisnis dan mencari untung. tidak semua orang bisa membayar dan tiap bulan harus dipotong. kami tidak sering memakainya jdi berat perblan harus byar",PlayStore,pada awalnya apk ini membantu saya dalam mnegecek nomor yang tidak dikenali jadi kami bisa waspada kalau nomor yang tidak dikenali itu meragukan atau punya indikasi jahat ke kita tetapi sayang harusnya apk ini bisa membantu semua orang malah harus dikenakan biaya lagi untuk melihat tag nomor yang tidak dikenali sama saja bukan membantu tetapi ini bisnis dan mencari untung tidak semua orang bisa membayar dan tiap bulan harus dipotong kami tidak sering memakainya jdi berat perblan harus byar,2
bahaya,PlayStore,bahaya,0
aplikasi kikir dulu padahal bisa liat kontak secara gratis ini apa2 semua kudu bayar,PlayStore,aplikasi kikir dulu padahal bisa liat kontak secara gratis ini apa semua kudu bayar,1
plikasi gaje,PlayStore,plikasi gaje,1
perasaan dlu getcontak g seribet ini ko jdinya mlh ribet bngt yh,PlayStore,perasaan dlu getcontak g seribet ini ko jdinya mlh ribet bngt yh,1
"tidak ada pemberitahuan terlebih dahulu untuk masa perpanjangan, tuba"" saldo terpotong",PlayStore,tidak ada pemberitahuan terlebih dahulu untuk masa perpanjangan tuba saldo terpotong,1
apk ga guna....padahal udah nggak berlangganan tapi tetep aja ada transaksi pembayaran dan setelah di cek di playstore tidak ada di bagian langganan dan mau pengembalian dana nya juga susah mohon untuk developer kalo memang niat cari duit bukan gitu juga caranya,PlayStore,apk ga gunapadahal udah nggak berlangganan tapi tetep aja ada transaksi pembayaran dan setelah di cek di playstore tidak ada di bagian langganan dan mau pengembalian dana nya juga susah mohon untuk developer kalo memang niat cari duit bukan gitu juga caranya,1
lumayan bgus,PlayStore,lumayan bgus,1
"ini kenapa ya getcontact ko di saya gak bisa di buka ya, selalu keluar mulu.. udh di apus trus download ulang tetep aja gak bisa di buka",PlayStore,ini kenapa ya getcontact ko di saya gak bisa di buka ya selalu keluar mulu udh di apus trus download ulang tetep aja gak bisa di buka,1
"kenapa ga bisa login dah, aneh banget",PlayStore,kenapa ga bisa login dah aneh banget,1
terlalu nyuruh premium,PlayStore,terlalu nyuruh premium,1
jelek,PlayStore,jelek,0
Aku suka aplikasinya. puas sekali,PlayStore,aku suka aplikasinya puas sekali,2
fitur premium tidak worth it daripada sebelah.,PlayStore,fitur premium tidak worth it daripada sebelah,1
sangat bagus,PlayStore,sangat bagus,2
kirain gk berbayar,PlayStore,kirain gk berbayar,1
"ini kenapa ya saya baru membeli nomor tapi tag saya udah ada di getcontact dengan nama orang lain padahal itu bukan nama saya dan teman teman saya tidak ada yang save saya seperti itu tolong di perbarui, saya nomor nya baru registrasi juga loh masa masih nempel sama orang yang lama, mohon banget di perbaiki",PlayStore,ini kenapa ya saya baru membeli nomor tapi tag saya udah ada di getcontact dengan nama orang lain padahal itu bukan nama saya dan teman teman saya tidak ada yang save saya seperti itu tolong di perbarui saya nomor nya baru registrasi juga loh masa masih nempel sama orang yang lama mohon banget di perbaiki,1
jualan berkedok membantu,PlayStore,jualan berkedok membantu,2
sangat bagus suka,PlayStore,sangat bagus suka,2
aplikasi burukkk kenapa tidak bisa di buka setelah suruh memasuk kan nomor kenapa tidak bisa di buka!!,PlayStore,aplikasi burukkk kenapa tidak bisa di buka setelah suruh memasuk kan nomor kenapa tidak bisa di buka,1
cari yg terbaik ...amin .👌🤳🤳💪🤳💪🙏,PlayStore,cari yg terbaik amin,1
ok membantu,PlayStore,ok membantu,2
mau lihat tagar seseorang aja harus bayar dulu. makin gak rekomen sih.,PlayStore,mau lihat tagar seseorang aja harus bayar dulu makin gak rekomen sih,1
"ribet nih aplikasi, udah verivikasi berulang ulang tetep aj g bisa masuk hadeh",PlayStore,ribet nih aplikasi udah verivikasi berulang ulang tetep aj g bisa masuk hadeh,1
ga jelas aplikasi ini,PlayStore,ga jelas aplikasi ini,1
aplikasi gajelas,PlayStore,aplikasi gajelas,1
dulu mah tampilan tag nya banyak sekarang cuma 2 harus bayar premium...,PlayStore,dulu mah tampilan tag nya banyak sekarang cuma  harus bayar premium,1
"Biaya teknologi, biaya teknologi apalah ini! Dulu ga premium juga bisa liat tag nama kontak, sekarang cuma liat tag nama kontak doang harus berbayar. Hadeuh menyusahkan sekali",PlayStore,biaya teknologi biaya teknologi apalah ini dulu ga premium juga bisa liat tag nama kontak sekarang cuma liat tag nama kontak doang harus berbayar hadeuh menyusahkan sekali,1
gk asik sekarang berbayar,PlayStore,gk asik sekarang berbayar,1
👍,PlayStore,,1
susah login,PlayStore,susah login,1
hrs pro/membeli seperti membersib,PlayStore,hrs promembeli seperti membersib,1
apk KIKIR,PlayStore,apk kikir,1
ga guna yeh,PlayStore,ga guna yeh,1
"saya kira getcontact ini bisa membantu pengguna utk Menghindari penipuan, ternyata gak sepenuhnya membantu juga, ada beberapa fitur yg menjadikan gtc ini membantu penipu, seperti menghapus dan mengedit tag lalu tag di privasi, shg kita tdk bisa melacak kontak penipu",PlayStore,saya kira getcontact ini bisa membantu pengguna utk menghindari penipuan ternyata gak sepenuhnya membantu juga ada beberapa fitur yg menjadikan gtc ini membantu penipu seperti menghapus dan mengedit tag lalu tag di privasi shg kita tdk bisa melacak kontak penipu,2
"males makin terkenal makah makin serba bayar bayar gitu, padahal dulu gak gitu tuh",PlayStore,males makin terkenal makah makin serba bayar bayar gitu padahal dulu gak gitu tuh,1
membantu,PlayStore,membantu,2
apk gila berlanganan nya udh ga bisa di stop in terus saldo ketarik mulu gila yaa tiap bulan loh,PlayStore,apk gila berlanganan nya udh ga bisa di stop in terus saldo ketarik mulu gila yaa tiap bulan loh,1
"apk bdoh, kalo ada yang call, pasti langsung keluar dari apk yang sedang di aplikasikan",PlayStore,apk bdoh kalo ada yang call pasti langsung keluar dari apk yang sedang di aplikasikan,1
tidak menarik seperti dulu,PlayStore,tidak menarik seperti dulu,1
. bagus,PlayStore,bagus,2
karna tidak perfesional,PlayStore,karna tidak perfesional,1
"gk berguna, mahal juga fiturnya",PlayStore,gk berguna mahal juga fiturnya,1
